Nom du jeu;Plateforme;Studio de développement;Date de sortie
ESPN National Hockey Night;Super Nintendo;Sony Imagesoft;1994-11-01
ESPN SpeedWorld;Super Nintendo;Park Place Productions;1994-01-01
ESPN Sunday Night NFL;Super Nintendo;Absolute Entertainment;1994-08-01
Eternal Filena;Super Nintendo;Tokuma Shoten;1995-01-01
Excitebike: Bun Bun Mario Battle Stadium;Super Nintendo;;
Extra Innings;Super Nintendo;Sting;1991-08-09
Eye of the Beholder;Super Nintendo;Strategic Simulations / Westwood Studios;1990-01-01
F - ZERO;Super Nintendo;;1990-01-01
F-1 Grand Prix;Super Nintendo;Video System;1991-04-28
F-1 Grand Prix Part II;Super Nintendo;Video System;1992-02-14
F-1 Grand Prix Part III;Super Nintendo;Video System;1994-04-22
F-Zero;Super Nintendo;Nintendo Entertainment Analysis & Development;1990-11-21
F1 Pole Position;Super Nintendo;Human Entertainment;1992-11-20
F1 Pole Position 2;Super Nintendo;Human Entertainment;1993-12-24
F1 ROC II: Race of Champions;Super Nintendo;SETA Corporation;1993-03-05
F1 ROC: Race of Champions;Super Nintendo;SETA Corporation;1992-01-01
Famicom Bunko: Hajimari no Mori;Super Nintendo;;1999-01-01
Famicom Tantei Club Part II: Ushiro ni Tatsu Shōjo;Super Nintendo;Tose Co.;1989-05-23
Family Feud;Super Nintendo;Imagineering;1993-01-01
Fatal Fury 2;Super Nintendo;SNK;1992-12-12
Fatal Fury Special;Super Nintendo;SNK;1993-09-16
Fatal Fury: King of Fighters;Super Nintendo;SNK;1991-11-25
Feda: The Emblem of Justice;Super Nintendo;;1994-10-28
Feudal Bros: Tonosama #1;Super Nintendo;;1995-03-31
Fever Pitch Soccer;Super Nintendo;U.S. Gold;1995-01-01
FIFA 97;Super Nintendo;EA Vancouver;1996-01-01
FIFA Soccer 96;Super Nintendo;Acclaim Studios London;1995-01-01
FIFA: Road to World Cup 98;Super Nintendo;EA Vancouver;1997-01-01
Fighter's History;Super Nintendo;;1993-01-01
Fighter's History: Mizoguchi Kiki Ippatsu !!;Super Nintendo;;1995-01-01
Final Fantasy IV;Super Nintendo;Square;1991-07-19
Final Fantasy Mystic Quest;Super Nintendo;Square;1992-10-05
Final Fantasy V;Super Nintendo;Square;1992-12-06
Final Fantasy VI;Super Nintendo;Square;1994-04-02
Final Fight;Super Nintendo;Capcom;1989-11-25
Final Fight 2;Super Nintendo;Capcom;1993-01-01
Final Fight 3;Super Nintendo;Capcom;1995-12-21
Final Set;Super Nintendo;;1993-09-17
Final Stretch;Super Nintendo;Genki;1993-11-12
Fire Emblem: Genealogy of the Holy War;Super Nintendo;Intelligent Systems;1996-05-14
Fire Emblem: Mystery of the Emblem;Super Nintendo;Intelligent Systems;1994-01-21
Fire Emblem: Thracia 776;Super Nintendo;Intelligent Systems;1999-09-01
Firestriker;Super Nintendo;;1993-12-17
Fireteam Rogue;Super Nintendo;Accolade;
First Queen;Super Nintendo;Kure Software Koubou;1988-01-01
First Samurai;Super Nintendo;Vivid Image;1991-01-01
Flash Hiders;Super Nintendo;Right Stuff;1993-12-19
Flashback;Super Nintendo;Delphine Software International;1992-01-01
Flying Hero;Super Nintendo;Sting;1992-12-18
Football Fury;Super Nintendo;;1992-07-24
Foreman For Real;Super Nintendo;Software Creations;1995-11-27
Frank Thomas' Big Hurt Baseball;Super Nintendo;Acclaim Studios Austin;1995-12-01
Frantic Flea;Super Nintendo;;1996-04-01
Frog Feast;Super Nintendo;;2005-01-01
Frogger;Super Nintendo;Konami;1981-01-01
From TV animation - Slam Dunk SD Heat Up!!;Super Nintendo;;1995-01-01
Front Mission;Super Nintendo;G-Craft;1995-02-24
Front Mission Series: Gun Hazard;Super Nintendo;;1996-02-23
Full Throttle: All-American Racing;Super Nintendo;Gremlin Interactive;1994-12-16
Fun 'n Games;Super Nintendo;Leland Interactive Media;1993-01-01
Funaki Masakatsu: Hybrid Wrestler;Super Nintendo;;1994-10-21
Furuta Atsuya no Simulation Pro Yakyuu 2;Super Nintendo;Hect;1996-08-24
Future Basketball;Super Nintendo;Hudson Soft;1991-11-01
G.O.D: Mezameyo to Yobu Koe ga Kikoe;Super Nintendo;;1996-01-01
Gaia Saver;Super Nintendo;Arc System Works;1994-01-28
Gakkou de atta Kowai Hanashi;Super Nintendo;Pandora Box;1995-08-04
Galaxy Wars;Super Nintendo;Universal Entertainment;1979-01-01
Game no Tatsujin;Super Nintendo;;1995-06-09
Game no Tetsujin - The Shanghai;Super Nintendo;;1995-06-30
Ganbare Goemon 2: Kiteretsu Shōgun Magginesu;Super Nintendo;Konami;1993-12-22
Ganbare Goemon 3: Shishijūrokubē no Karakuri Manji Gatame;Super Nintendo;Konami;1994-12-16
Ganbare Goemon Kirakira Dōchū: Boku ga Dancer ni Natta Wake;Super Nintendo;Konami;1995-12-22
Ganpuru: Gunman's Proof;Super Nintendo;Lenar;1997-01-01
Gdleen;Super Nintendo;;1991-01-01
Gekisou Sentai Carranger: Zenkai! Racer Senshi;Super Nintendo;Winning Entertainment Group;1996-08-23
Gekitotsu Dangan Jidōsha Kessen: Battle Mobile;Super Nintendo;;1993-06-25
Gemfire;Super Nintendo;Koei;1991-08-29
Genghis Khan II: Clan of the Gray Wolf;Super Nintendo;Koei;1992-07-30
Genjū Ryodan;Super Nintendo;Crea-Tech;1995-06-30
Genocide;Super Nintendo;Zoom;1989-07-23
Genocide 2;Super Nintendo;;1994-08-05
George Foreman's KO Boxing;Super Nintendo;Krome Studios Melbourne;1992-01-01
Getsumen no Anubis;Super Nintendo;;1995-12-22
Ghost Sweeper Mikami: Joreishi wa Nice Body;Super Nintendo;Winning Entertainment Group;1993-01-01
Ghoul Patrol;Super Nintendo;Lucasfilm Games;1994-01-01
Ginga Sengoku Gun'yūden Rai;Super Nintendo;;1996-03-29
Gionbana;Super Nintendo;;1994-12-16
Go Go Ackman;Super Nintendo;;1994-01-01
Go Go Ackman 2;Super Nintendo;Aspect;1995-01-01
Goal! Two;Super Nintendo;Tose Co.;1992-01-01
Gods;Super Nintendo;The Bitmap Brothers;1991-01-01
Godzilla: Monster War;Super Nintendo;Alfa System;1994-12-09
Gokinjo Bōkentai;Super Nintendo;;1996-01-01
Gokujo Parodius;Super Nintendo;Konami;1994-04-26
Gon;Super Nintendo;Tose Co.;1994-11-11
Goof Troop;Super Nintendo;Capcom;1993-07-01
Gourmet Warriors;Super Nintendo;;1995-09-29
GP-1;Super Nintendo;Genki;1993-06-25
GP-1: Part II;Super Nintendo;Genki;1994-08-05
Granhistoria: Genshi Sekaiki;Super Nintendo;;1995-06-30
GT Racing;Super Nintendo;Lenar;1996-03-29
GunForce;Super Nintendo;Irem;1992-11-01
Habu Meijin no Omoshiro Shōgi;Super Nintendo;;1995-03-31
Hagane: The Final Conflict;Super Nintendo;Red Entertainment;1994-11-18
Hal's Hole in One Golf;Super Nintendo;;1991-02-23
HammerLock Wrestling;Super Nintendo;Jaleco;1994-09-30
Hanjuku Hero;Super Nintendo;Neverland / Square / Square Enix;1988-12-02
Hanna Barbera's Turbo Toons;Super Nintendo;Empire Interactive;1994-01-01
HardBall III;Super Nintendo;;1992-01-01
Harley's Humongous Adventure;Super Nintendo;Visual Concepts;1993-02-01
Harvest Moon;Super Nintendo;Pack-In-Video;1996-08-09
Hashire Hebereke;Super Nintendo;Sun Corporation;1994-01-01
Hat Trick Hero 2;Super Nintendo;Neverland;1994-07-29
Hatayama Hatch no Pro Yakyuu News! Jitsumei Han;Super Nintendo;;1993-08-06
Hebereke's Popoitto;Super Nintendo;Sun Corporation;1995-03-03
Hebereke's Popoon;Super Nintendo;Sun Corporation;1993-12-22
Heiankyo Alien;Super Nintendo;;1990-01-14
Heisei Inu Monogatari Bow Pop'n Smash!!;Super Nintendo;;1994-04-28
Heiwa Pachinko World;Super Nintendo;Office Koukan;1995-02-24
Heiwa Pachinko World 2;Super Nintendo;Office Koukan;1995-09-29
Heiwa Pachinko World 3;Super Nintendo;Office Koukan;1996-04-26
Hero Senki: Project Olympus;Super Nintendo;Winkysoft;1992-11-20
Hiryu no Ken S: Golden Fighter;Super Nintendo;;1992-01-01
Hit the Ice;Super Nintendo;Taito;1990-01-01
Hiōden: Mamono-tachi tono Chikai;Super Nintendo;Namco Tales Studio;1992-06-26
Hokuto no Ken 6: Gekitō Denshōken - Haō heno Michi;Super Nintendo;;1992-01-01
Hokuto no Ken 7: Seiken Retsuden - Denshōsha e no Michi;Super Nintendo;;1993-12-24
Home Alone;Super Nintendo;;1991-01-01
Home Alone 2: Lost in New York;Super Nintendo;Imagineering;1992-01-01
Home Improvement: Power Tool Pursuit!;Super Nintendo;Imagineering;1994-11-01
Hong Kong 97;Super Nintendo;;1995-01-01
Hook;Super Nintendo;Core Design / Rockstar Lincoln / Ukiyotei;1992-01-01
Human Baseball;Super Nintendo;;1993-08-06
Human Grand Prix IV: F1 Dream Battle;Super Nintendo;Human Entertainment;1995-08-25
Hyper Iria;Super Nintendo;TamTam Co., Ltd.;1995-10-13
Hyper Zone;Super Nintendo;HAL Laboratory;1991-08-31
Idea no Hi;Super Nintendo;Office Koukan;1994-03-18
Idol Janshi Suchie-Pai;Super Nintendo;;1993-01-01
Ihatovo Monogatari;Super Nintendo;Hect;1993-03-05
Illusion of Gaia;Super Nintendo;;1993-11-27
Imperium;Super Nintendo;Tokai Communications;1992-02-01
Incantation;Super Nintendo;Titus Interactive;1996-01-01
Indiana Jones' Greatest Adventures;Super Nintendo;Factor 5 / Lucasfilm Games;1994-10-01
Inindo: Way of the Ninja;Super Nintendo;Koei;1991-01-01
Inspector Gadget;Super Nintendo;Fortyfive;1993-12-01
International Sensible Soccer;Super Nintendo;;1993-01-01
International Superstar Soccer;Super Nintendo;Konami;1994-11-11
International Superstar Soccer Deluxe;Super Nintendo;Konami;1995-09-22
International Tennis Tour;Super Nintendo;;1993-01-01
Ippatsu Gyakuten: Keiba Keirin Kyōtei;Super Nintendo;;1996-04-26
Iron Commando;Super Nintendo;Arcade Zone;1995-01-01
Isozuri: Ritou Hen;Super Nintendo;;1996-01-19
Itadaki Street 2: Neon Sign wa Bara Iro ni;Super Nintendo;ASCII Corporation;1994-02-26
Itoi Shigesato no Bass Tsuri No. 1;Super Nintendo;HAL Laboratory;1997-02-21
Ivan 'Ironman' Stewart's Super Off Road;Super Nintendo;Leland Corporation;1989-01-01
J.League Excite Stage;Super Nintendo;;1994-01-01
J.League Soccer Prime Goal;Super Nintendo;;1993-08-06
J.League Super Soccer '95 Jikkyō Stadium;Super Nintendo;;1995-03-17
J.R.R. Tolkien's The Lord of the Rings, Vol. I;Super Nintendo;Interplay Entertainment;1994-10-01
Jack Nicklaus' Unlimited Golf & Course Design;Super Nintendo;;
Jaki Crush;Super Nintendo;Kaga Create;1992-01-01
James Bond Jr.;Super Nintendo;;1992-01-01
James Pond 2: Codename: RoboCod;Super Nintendo;;1991-01-01
James Pond 3: Operation Starfish;Super Nintendo;;1993-01-01
Jammes;Super Nintendo;;1995-02-10
Jammit;Super Nintendo;;1994-09-01
JB The Super Bass;Super Nintendo;Gaps;1995-12-15
Jelly Boy;Super Nintendo;Acclaim Studios London;1994-01-01
Jeopardy! Sports Edition;Super Nintendo;;
Jikkyō Keiba Simulation: Stable Star;Super Nintendo;KCEO;1996-03-22
Jikkyō Oshaberi Parodius;Super Nintendo;Konami;1995-12-15
Jikkyō Power Pro Wrestling '96: Max Voltage;Super Nintendo;;1996-01-01
Jikkyō Powerful Pro Yakyū '94;Super Nintendo;;1994-03-11
Jikkyō Powerful Pro Yakyū 2;Super Nintendo;;1995-02-24
Jikkyō Powerful Pro Yakyū 3;Super Nintendo;;1996-01-01
Jim Lee's Wild C.A.T.S: Covert Action Teams;Super Nintendo;Krome Studios Melbourne;1995-11-01
Jim Power in Mutant Planet;Super Nintendo;;1993-03-19
Jim Power: The Lost Dimension in 3-D;Super Nintendo;Loriciels;1993-12-01
Jimmy Connors Pro Tennis Tour;Super Nintendo;Ubisoft Blue Byte;1993-01-01
Jissen Kyōtei;Super Nintendo;;1995-06-23
Joe & Mac;Super Nintendo;Data East;1991-12-06
Joe & Mac 2: Lost in the Tropics;Super Nintendo;Data East;1994-02-18
John Madden Football;Super Nintendo;Park Place Productions;1990-01-01
John Madden Football '93;Super Nintendo;Looking Glass Studios;1992-01-01
JoJo's Bizarre Adventure;Super Nintendo;Winkysoft;1993-03-05
Judge Dredd;Super Nintendo;Acclaim Studios London;1995-01-01
Jumbo Ozaki no Hole In One;Super Nintendo;;1991-01-01
Jumpin' Derby;Super Nintendo;;1995-02-10
Jungle Strike;Super Nintendo;Electronic Arts;1993-01-01
JUNGLE WARS;Super Nintendo;;1993-01-01
Jurassic Park;Super Nintendo;Ocean Software;1993-11-01
Jurassic Park 2: The Chaos Continues;Super Nintendo;Ocean Software;1994-11-01
Justice League Task Force;Super Nintendo;Sun Corporation;1995-06-01
Justice Ninja Casey;Super Nintendo;Sun Corporation;1994-01-01
JWP Joshi Pro Wrestling: Pure Wrestle Queens;Super Nintendo;;1994-01-01
Jyutei Senki;Super Nintendo;;1993-08-27
Kabuki Rocks;Super Nintendo;Red Entertainment;1994-03-04
Kachō Kōsaku Shima: Super Business Adventure;Super Nintendo;;1993-09-17
Kaizou Choujin Schbibinman Zero;Super Nintendo;;1997-01-01
Kakinoki Shogi;Super Nintendo;Yoshikazu Kakinoki;1994-10-21
Kamen Rider SD: Sortie!! Rider Machines;Super Nintendo;;1993-01-01
Kat's Run: All Japan K-Car Championship;Super Nintendo;Atlus;1995-07-14
Kawa no Nushi Tsuri 2;Super Nintendo;;1995-04-28
Kawasaki Caribbean Challenge;Super Nintendo;Park Place Productions;1993-06-01
Kawasaki Superbike Challenge;Super Nintendo;Lankhor;1994-01-01
Ken Griffey, Jr. Presents Major League Baseball;Super Nintendo;Software Creations;1994-03-01
Ken Griffey, Jr.'s Winning Run;Super Nintendo;Rare Ltd.;1996-06-01
Kendo Rage;Super Nintendo;;1993-01-22
Kero Kero Keroppi no Bōken Nikki: Nemureru Mori no Keroleen;Super Nintendo;;1994-03-25
Kevin Keegan's Player Manager;Super Nintendo;Anco Software;1993-01-01
Kick Off;Super Nintendo;Dino Dini;1989-01-01
Kid Klown in Crazy Chase;Super Nintendo;Kemco;1994-09-10
Kidō Butoden G Gundam;Super Nintendo;Bandai;1994-01-01
Kidō Keisatsu Patlabor;Super Nintendo;;1994-04-22
Kidō Senshi V Gundam;Super Nintendo;Bandai;1994-01-01
Kidō Senshi Z Gundam: Away to the Newtype;Super Nintendo;Bandai;1996-01-01
Killer Instinct;Super Nintendo;Rare Ltd.;1994-10-28
King Arthur & the Knights of Justice;Super Nintendo;EA Seattle;1995-04-01
King Arthur's World;Super Nintendo;Argonaut Games;1993-01-01
King of the Monsters;Super Nintendo;SNK;1991-01-01
King of the Monsters 2;Super Nintendo;SNK;1992-01-01
Kingyo Chūihō! Tobidase Game Gakuen;Super Nintendo;Jaleco;1994-01-01
Kinnikuman: Dirty Challenger;Super Nintendo;;1992-01-01
Kirby Super Star;Super Nintendo;HAL Laboratory;1996-03-21
Kirby's Avalanche;Super Nintendo;HAL Laboratory;1995-02-01
Kirby's Dream Course;Super Nintendo;HAL Laboratory;1994-09-21
Kirby's Dream Land 3;Super Nintendo;HAL Laboratory;1997-11-27
Kirby's Star Stacker;Super Nintendo;HAL Laboratory;1997-03-18
Kishin Dōji Zenki FX: Vajra Fight;Super Nintendo;Hudson Soft;1995-12-22
Kishin Dōji Zenki: Battle Raiden;Super Nintendo;;1995-08-04
Kishin Dōji Zenki: Den'ei Live;Super Nintendo;;1995-11-24
Kishin Dōji Zenki: Tenchi Meidō;Super Nintendo;;1995-09-29
Kiteretsu Daihyakka: Chōjikū Sugoroku;Super Nintendo;;1995-01-27
Knights of the Round;Super Nintendo;Capcom;1991-11-27
Konpeki no Kantai;Super Nintendo;;1995-04-21
Kouryaku Casino Bar;Super Nintendo;;1995-07-14
Koutetsu no Kishi;Super Nintendo;;1991-01-25
Koutetsu no Kishi 2: Sabaku no Rommel Shougun;Super Nintendo;;1994-01-28
Koutetsu no Kishi 3: Gekitotsu Europe Sensen;Super Nintendo;;1995-01-27
Krusty's Fun House;Super Nintendo;Audiogenic;1992-01-01
Krusty's Super Fun House;Super Nintendo;;1992-06-01
Kunio no Oden;Super Nintendo;;1994-05-27
Kunio-kun no Dodge Ball da yo: Zenin Shūgo;Super Nintendo;;1993-08-06
Kyle Petty's No Fear Racing;Super Nintendo;Leland Interactive Media;1995-01-01
Kōryū no Mimi;Super Nintendo;VAP Inc.;1995-09-29
Kōshien 4;Super Nintendo;;1995-07-14
Kūsō Kagaku Sekai Gulliver Boy;Super Nintendo;;1996-05-31
Lady Stalker: Challenge from the Past;Super Nintendo;Climax Entertainment;1995-04-01
Lagoon;Super Nintendo;Zoom;1990-09-12
Lamborghini American Challenge;Super Nintendo;Titus Interactive;1992-01-01
Langrisser II;Super Nintendo;Career Soft;1994-08-26
Laplace no Ma;Super Nintendo;Group SNE;1993-03-30
Last Bible III;Super Nintendo;;1995-01-01
Leading Company;Super Nintendo;;1993-02-26
Legend;Super Nintendo;Arcade Zone;1994-01-01
Lemmings 2: The Tribes;Super Nintendo;DMA Design;1993-01-01
Lennus II;Super Nintendo;;1996-07-26
Lester the Unlikely;Super Nintendo;Visual Concepts;1994-01-01
Lethal Enforcers;Super Nintendo;Konami Digital Entertainment, Inc.;1992-09-01
Lethal Weapon;Super Nintendo;Eurocom;1992-01-01
Libble Rabble;Super Nintendo;Namco;1983-12-16
Liberty or Death;Super Nintendo;Koei;1994-03-18
Light Fantasy;Super Nintendo;;1992-07-03
Light Fantasy II;Super Nintendo;;1995-10-27
Little Master;Super Nintendo;;1991-04-19
Little Master: Nijiiro no Maseki;Super Nintendo;;1995-06-30
Live A Live;Super Nintendo;Square;1994-09-02
Logos Panic;Super Nintendo;;1995-11-17
Looney Tunes B-Ball;Super Nintendo;Sculptured Software;1995-01-01
Love Quest;Super Nintendo;;1995-03-17
Lucky Luke;Super Nintendo;;1997-01-01
Lufia & the Fortress of Doom;Super Nintendo;Neverland;1993-06-25
Lufia II: Rise of the Sinistrals;Super Nintendo;Neverland;1995-02-24
Lupin III: Densetsu no Hihō o Oe!;Super Nintendo;;1994-11-25
Madden NFL '94;Super Nintendo;EA Orlando;1993-10-01
Madden NFL '95;Super Nintendo;Electronic Arts;1994-11-18
Madden NFL '96;Super Nintendo;EA Orlando;1995-11-01
Madden NFL 97;Super Nintendo;EA Orlando;1996-01-01
Madden NFL 98;Super Nintendo;EA Orlando;1997-01-01
Madō Monogatari: Hanamaru Daiyōchienji;Super Nintendo;;1996-01-12
Magic Boy;Super Nintendo;Empire Interactive;1993-01-01
Magic Knight Rayearth;Super Nintendo;;1995-01-01
Magic Sword: Heroic Fantasy;Super Nintendo;Capcom;1990-01-01
Magical Drop;Super Nintendo;Data East;1995-01-01
Magical Drop II;Super Nintendo;;1996-01-01
Magical Pop'n;Super Nintendo;;1995-03-10
Magical Tarurūto-kun: Magic Adventure;Super Nintendo;Game Freak;1992-01-01
Magna Braban: Henreki no Yusha;Super Nintendo;;1994-11-18
Mahōjin Guru Guru;Super Nintendo;;1995-04-21
Mahōjin Guru Guru 2;Super Nintendo;;1996-01-01
Majin Tensei;Super Nintendo;;1994-01-28
Majin Tensei II: Spiral Nemesis;Super Nintendo;;1995-02-19
Majo-tachi no Nemuri;Super Nintendo;;1995-11-24
Major Title;Super Nintendo;Irem;1992-12-04
Majyūō;Super Nintendo;KSS;1995-08-25
Maka Maka;Super Nintendo;Office Koukan / Shōei System;1992-04-24
Makeruna! Makendō 2: Kimero Youkai Souri;Super Nintendo;Success;1995-03-17
Manchester United Championship Soccer;Super Nintendo;Krisalis Software;
Mario & Wario;Super Nintendo;Game Freak;1993-08-27
Mario Is Missing!;Super Nintendo;The Software Toolworks;1993-01-01
Mario Paint;Super Nintendo;Nintendo Research & Development 1;1992-07-14
Mario's Early Years! Fun with Letters;Super Nintendo;;1993-01-01
Mario's Early Years! Fun with Numbers;Super Nintendo;;1994-01-01
Mario's Early Years! Preschool Fun;Super Nintendo;;1994-01-01
Mario's Picross;Super Nintendo;Ape, Inc. / Jupiter;1995-03-14
Mario's Super Picross;Super Nintendo;Creatures;1995-09-14
Mario's Time Machine;Super Nintendo;Mindscape;1993-12-01
Mark Davis' The Fishing Master;Super Nintendo;Winning Entertainment Group;1995-06-30
Marvel Super Heroes in War of the Gems;Super Nintendo;Capcom;1996-10-18
Marvelous: Mōhitotsu no Takarajima;Super Nintendo;Nintendo Research & Development 2;1996-10-26
Mary Shelley's Frankenstein;Super Nintendo;Bits Studios;1994-11-01
Math Blaster Episode I: In Search of Spot;Super Nintendo;;1994-01-01
Matsukata Hiroki no Super Trawling;Super Nintendo;;1995-08-25
Matsumura Kunihiro Den: Saikyō no Rekishi o Nurikaero!;Super Nintendo;;1994-08-26
Maui Mallard in Cold Shadow;Super Nintendo;Disney Interactive Studios;1995-12-01
Mazinger Z;Super Nintendo;Winkysoft;1993-06-25
Mecarobot Golf;Super Nintendo;;1992-12-04
MechWarrior;Super Nintendo;Krome Studios Melbourne;1993-01-01
Mega Lo Mania;Super Nintendo;Sensible Software;1991-01-01
Mega Man & Bass;Super Nintendo;Capcom;1998-04-24
Mega Man 7;Super Nintendo;Capcom;1995-03-24
Mega Man X;Super Nintendo;Capcom;1993-12-17
Mega Man X2;Super Nintendo;Capcom;1994-12-16
Mega Man X3;Super Nintendo;Capcom;1995-12-01
Melfand Stories;Super Nintendo;;1994-03-25
Metal Combat: Falcon's Revenge;Super Nintendo;Intelligent Systems;1993-12-01
Metal Marines;Super Nintendo;Namco;1993-12-01
Metal Max;Super Nintendo;Crea-Tech;1991-05-24
Metal Max 2;Super Nintendo;Crea-Tech;1993-03-05
Metal Morph;Super Nintendo;Origin Systems;1994-12-01
Metal Slader Glory;Super Nintendo;HAL Laboratory;1991-08-30
Metal Warriors;Super Nintendo;Lucasfilm Games;1995-01-01
Michael Andretti's Indy Car Challenge;Super Nintendo;Genki;1994-09-01
Michael Jordan: Chaos in the Windy City;Super Nintendo;Electronic Arts;1994-11-01
Mickey Mania;Super Nintendo;Traveller's Tales;1994-10-01
Mickey no Tokyo Disneyland Daibōken;Super Nintendo;;1994-12-16
Mickey's Ultimate Challenge;Super Nintendo;Disney Interactive Studios;1994-01-01
Micro Machines 2: Turbo Tournament;Super Nintendo;Codemasters;1994-01-01
MIDI Maze;Super Nintendo;;1987-01-01
Might and Magic II: Gates to Another World;Super Nintendo;New World Computing;1988-01-01
Might and Magic III: Isles of Terra;Super Nintendo;New World Computing;1991-01-01
Mighty Morphin Power Rangers;Super Nintendo;Winning Entertainment Group;1994-11-01
Mighty Morphin Power Rangers: The Fighting Edition;Super Nintendo;Winning Entertainment Group;1995-09-01
Mighty Morphin Power Rangers: The Movie;Super Nintendo;Winning Entertainment Group;1995-01-01
Military Multipurpose Arcade Combat Simulator;Super Nintendo;;
Miracle Girls;Super Nintendo;Now Production;1993-01-01
Miracle Piano Teaching System;Super Nintendo;Mindscape;1990-01-01
MLBPA Baseball;Super Nintendo;;1995-07-01
Mobile Fighter G Gundam;Super Nintendo;;1994-01-01
Mobile Suit Gundam F91: Formula Report 0122;Super Nintendo;Bandai;1991-07-06
Mobile Suit Gundam: Cross Dimension 0079;Super Nintendo;Bandai;1995-02-10
Mobile Suit V Gundam;Super Nintendo;;1994-01-01
Mobile Suit Z Gundam: Away to the Newtype;Super Nintendo;;1996-01-01
Mohawk & Headphone Jack;Super Nintendo;;1996-08-01
Momotaro Dentetsu HAPPY;Super Nintendo;;1996-01-01
Monopoly;Super Nintendo;;1992-09-01
Moon Cresta;Super Nintendo;Nichibutsu;1980-05-01
Mortal Kombat;Super Nintendo;Midway Games;1992-10-08
Mortal Kombat 3;Super Nintendo;Midway Games;1995-01-01
Motoko-chan no Wonder Kitchen;Super Nintendo;Nintendo;1993-01-01
Mountain Bike Rally;Super Nintendo;Radical Entertainment;1994-10-01
Mr. Do!;Super Nintendo;Universal Entertainment;1995-06-23
Mr. Nutz;Super Nintendo;Ocean Software;1994-01-01
Mr. Tuff;Super Nintendo;The Sales Curve;1994-01-01
Ms. Pac-Man;Super Nintendo;Midway Games;1982-01-13
Mujintō Monogatari;Super Nintendo;;1994-08-05
Musya;Super Nintendo;Jorudan;1992-04-21
Mutant Fighter;Super Nintendo;Data East;1992-01-01
Mystery Circle;Super Nintendo;;1992-12-04
Mystery Dungeon: Shiren the Wanderer;Super Nintendo;Chunsoft;1995-12-01
Mystic Ark;Super Nintendo;Produce!;1995-07-14
Märchen Adventure Cotton 100%;Super Nintendo;Success;1994-01-01
Mōko Densetsu 95: Hanshin Tigers;Super Nintendo;;1995-04-28
Mōryō Senki Madara 2;Super Nintendo;Konami;1993-07-16
Nage Libre: Seijaku no Suishin;Super Nintendo;;1995-02-24
Nakajima Satoru F-1 Hero '94;Super Nintendo;;1994-09-22
Nakano Kōichi Kanshū: Keirin Ō;Super Nintendo;;1994-11-18
Namco Open;Super Nintendo;Tose Co.;1993-01-29
Naruhodo! The World;Super Nintendo;Tomy;1994-01-01
Natsuki Crisis Battle;Super Nintendo;Tose Co.;1995-04-21
Natsume Championship Wrestling;Super Nintendo;Winning Entertainment Group;1994-01-01
NBA All-Star Challenge;Super Nintendo;Krome Studios Melbourne;1993-05-21
NBA Give 'n Go;Super Nintendo;Konami;1995-08-11
NBA Hangtime;Super Nintendo;Midway Games;1996-04-16
NBA Jam;Super Nintendo;Midway Games;1994-03-01
NBA Jam: Tournament Edition;Super Nintendo;Midway Games;1994-01-01
NBA Live 95;Super Nintendo;Electronic Arts;1994-01-01
NBA Live 96;Super Nintendo;EA Sports;1995-01-01
NBA Live 97;Super Nintendo;EA Sports;1996-01-01
NBA Live 98;Super Nintendo;EA Sports;1997-01-01
NBA Showdown;Super Nintendo;Electronic Arts;1993-10-01
NCAA Basketball;Super Nintendo;Sculptured Software;1992-06-19
NCAA Final Four Basketball;Super Nintendo;;1994-01-01
NCAA Football;Super Nintendo;;1994-01-01
Nekketsu Tairiku Burning Heroes;Super Nintendo;;1995-03-17
New 3D Golf Simulation: Harukanaru Augusta;Super Nintendo;;1991-01-01
New Yatterman: Nandai Kandai Yajirobee;Super Nintendo;;1996-01-01
NFL Football;Super Nintendo;;1993-01-01
NFL Quarterback Club;Super Nintendo;Acclaim Studios Austin;1994-11-01
NFL Quarterback Club 96;Super Nintendo;Acclaim Studios Austin;1995-10-27
NHL '94;Super Nintendo;EA Vancouver;1993-10-01
NHL 95;Super Nintendo;Visual Concepts;1994-11-01
NHL 96;Super Nintendo;EA Orlando;1995-09-01
NHL 97;Super Nintendo;;1996-08-31
NHL 98;Super Nintendo;EA Vancouver;1997-09-30
NHL Stanley Cup;Super Nintendo;Sculptured Software;1993-01-01
NHLPA Hockey '93;Super Nintendo;Park Place Productions;1992-12-01
Nice de Shot;Super Nintendo;Magical Company;1994-04-29
Nichibutsu Arcade Classics;Super Nintendo;;1995-05-26
Nickelodeon GUTS;Super Nintendo;;
Nigel Mansell's World Championship Racing;Super Nintendo;Gremlin Interactive;1993-01-01
Nightmare Busters;Super Nintendo;;2013-12-23
Ninja Gaiden;Super Nintendo;Tecmo;1988-12-09
Ninja Gaiden Trilogy;Super Nintendo;Team Ninja;1995-08-01
Ninja Kid;Super Nintendo;Bandai;1993-01-01
Nintendo PowerFest '94;Super Nintendo;;1994-01-01
No Escape;Super Nintendo;Bits Studios;1994-01-01
Nobunaga's Ambition;Super Nintendo;Koei Tecmo Games;1986-01-01
Nobunaga's Ambition: Haouden;Super Nintendo;Koei;1992-01-01
Nobunaga's Ambition: Lord of Darkness;Super Nintendo;;1995-03-31
