"nom_machine","nom_alternatif","categorie","zone_ou_usage","commentaire"
"Vectrex","GCE Vectrex","nom_alternatif","Etats-Unis","Nom avec fabricant initial."
"Compact Vision TV Boy","TV Boy","nom_court","Japon","Nom court courant."
"Videopac+ G7400","Philips Videopac+ G7400","nom_alternatif","Europe","Nom avec fabricant."
"My Vision","Nichibutsu My Vision","nom_alternatif","Japon","Nom avec fabricant."
"Pyuuta Jr.","Pyuuta Junior","orthographe","Japon","Variante developpee."
"SG-1000","Sega SG-1000","nom_alternatif","Japon","Nom avec fabricant."
"Nintendo Entertainment System / Famicom","Nintendo Entertainment System","nom_alternatif","Occident","Nom occidental complet."
"Nintendo Entertainment System / Famicom","NES","abreviation","Occident","Abreviation la plus utilisee."
"Nintendo Entertainment System / Famicom","Famicom","nom_alternatif","Japon","Nom japonais courant."
"Nintendo Entertainment System / Famicom","Family Computer","nom_alternatif","Japon","Nom japonais developpe."
"PV-1000","Casio PV-1000","nom_alternatif","Japon","Nom avec fabricant."
"Super Cassette Vision","Epoch Super Cassette Vision","nom_alternatif","Japon","Nom avec fabricant."
"Bridge Companion","BBC Bridge Companion","nom_alternatif","Royaume-Uni","Nom avec fabricant."
"Video Art","LJN Video Art","nom_alternatif","Etats-Unis","Nom avec fabricant."
"Zemmix","Daewoo Zemmix","nom_alternatif","Coree du Sud","Nom avec fabricant."
"Master System / Sega Mark III","Master System","nom_court","International","Nom international le plus utilise."
"Master System / Sega Mark III","Sega Master System","nom_alternatif","International","Nom avec fabricant."
"Master System / Sega Mark III","Sega Mark III","nom_alternatif","Japon","Nom japonais initial."
"Master System / Sega Mark III","Mark III","nom_court","Japon","Nom court japonais."
"Family Computer Disk System","Famicom Disk System","nom_alternatif","Japon","Nom courant."
"Family Computer Disk System","FDS","abreviation","Japon","Abreviation courante."
"Videosmarts","VTech Videosmarts","nom_alternatif","Etats-Unis","Nom avec fabricant."
"Atari 7800","Atari 7800 ProSystem","nom_alternatif","Etats-Unis","Nom commercial complet."
"Atari XEGS","Atari XE Game System","nom_alternatif","Etats-Unis","Nom developpe."
"Atari XEGS","XE Game System","nom_court","Etats-Unis","Nom court courant."
"Video Challenger","Tomy Video Challenger","nom_alternatif","Japon","Nom avec fabricant."
"Action Max","Worlds of Wonder Action Max","nom_alternatif","Etats-Unis","Nom avec fabricant."
"PC Engine / TurboGrafx-16","PC Engine","nom_alternatif","Japon","Nom japonais."
"PC Engine / TurboGrafx-16","TurboGrafx-16","nom_alternatif","Amerique du Nord","Nom nord-americain."
"PC Engine / TurboGrafx-16","TurboGrafx 16","orthographe","Amerique du Nord","Variante sans trait d'union."
"PC Engine / TurboGrafx-16","TG-16","abreviation","Amerique du Nord","Abreviation courante."
"View-Master Interactive Vision","Interactive Vision","nom_court","Etats-Unis","Nom court courant."
"Terebikko","Bandai Terebikko","nom_alternatif","Japon","Nom avec fabricant."
"VTech Socrates","Socrates","nom_court","Etats-Unis","Nom court courant."
"Video Driver","Sega Video Driver","nom_alternatif","Japon","Nom avec fabricant."
"Mega Drive / Genesis","Mega Drive","nom_alternatif","Europe/Japon","Nom europeen et japonais."
"Mega Drive / Genesis","Sega Mega Drive","nom_alternatif","Europe/Japon","Nom avec fabricant."
"Mega Drive / Genesis","Genesis","nom_alternatif","Amerique du Nord","Nom nord-americain."
"Mega Drive / Genesis","Sega Genesis","nom_alternatif","Amerique du Nord","Nom avec fabricant."
"TurboGrafx-CD / CD-ROM2","TurboGrafx-CD","nom_alternatif","Amerique du Nord","Nom nord-americain."
"TurboGrafx-CD / CD-ROM2","TurboGrafx CD","orthographe","Amerique du Nord","Variante sans trait d'union."
"TurboGrafx-CD / CD-ROM2","CD-ROM2","nom_alternatif","Japon","Nom japonais."
"TurboGrafx-CD / CD-ROM2","PC Engine CD-ROM2","nom_alternatif","Japon","Nom avec plateforme."
"PC Engine SuperGrafx","SuperGrafx","nom_court","Japon","Nom court courant."
"Neo Geo AES","Neo Geo","nom_court","International","Nom courant pour le modele domestique."
"Neo Geo AES","Advanced Entertainment System","nom_alternatif","International","Nom developpe AES."
"GX4000","Amstrad GX4000","nom_alternatif","Europe","Nom avec fabricant."
"Super Nintendo Entertainment System / Super Famicom","Super Nintendo Entertainment System","nom_alternatif","Occident","Nom occidental complet."
"Super Nintendo Entertainment System / Super Famicom","Super NES","abreviation","Occident","Abreviation officielle."
"Super Nintendo Entertainment System / Super Famicom","SNES","abreviation","Occident","Abreviation la plus utilisee."
"Super Nintendo Entertainment System / Super Famicom","Super Nintendo","nom_court","France/Occident","Nom courant francophone."
"Super Nintendo Entertainment System / Super Famicom","Super Famicom","nom_alternatif","Japon","Nom japonais."
"Super Nintendo Entertainment System / Super Famicom","SFC","abreviation","Japon","Abreviation de Super Famicom."
"Commodore 64 Games System","C64 Games System","nom_court","Europe","Nom court courant."
"Commodore 64 Games System","C64GS","abreviation","Europe","Abreviation courante."
"CDTV","Commodore CDTV","nom_alternatif","International","Nom avec fabricant."
"CDTV","Commodore Dynamic Total Vision","nom_alternatif","International","Nom developpe."
"CD-i","Philips CD-i","nom_alternatif","International","Nom avec fabricant."
"CD-i","Compact Disc Interactive","nom_alternatif","International","Nom developpe."
"Mega-CD / Sega CD","Mega-CD","nom_alternatif","Europe/Japon","Nom europeen et japonais."
"Mega-CD / Sega CD","Sega Mega-CD","nom_alternatif","Europe/Japon","Nom avec fabricant."
"Mega-CD / Sega CD","Sega CD","nom_alternatif","Amerique du Nord","Nom nord-americain."
"Picno","Konami Picno","nom_alternatif","Japon","Nom avec fabricant."
"Memorex VIS","Tandy VIS","nom_alternatif","Etats-Unis","Nom associe au distributeur Tandy."
"Memorex VIS","Video Information System","nom_alternatif","Etats-Unis","Nom developpe VIS."
"FM Towns Marty","Marty","nom_court","Japon","Nom court courant."
"Sega Pico","Kids Computer Pico","nom_alternatif","Japon","Nom commercial japonais."
"Pioneer LaserActive","LaserActive","nom_court","International","Nom court courant."
"Amiga CD32","Commodore Amiga CD32","nom_alternatif","Europe","Nom avec fabricant."
"3DO Interactive Multiplayer","3DO","nom_court","International","Nom le plus utilise."
"3DO Interactive Multiplayer","Panasonic 3DO","nom_alternatif","International","Nom courant du modele principal."
"Atari Jaguar","Jaguar","nom_court","International","Nom court courant."
"CPS Changer","Capcom CPS Changer","nom_alternatif","Japon","Nom avec fabricant."
"Neo Geo CD","NeoGeo CD","orthographe","International","Variante sans espace."
"Playdia","Bandai Playdia","nom_alternatif","Japon","Nom avec fabricant."
"Sega 32X","32X","nom_court","International","Nom court courant."
"Sega Saturn","Saturn","nom_court","International","Nom court courant."
"PlayStation","PS1","abreviation","International","Abreviation retrogaming courante."
"PlayStation","PSX","abreviation","International","Abreviation historique courante."
"PlayStation","PS One","nom_alternatif","International","Nom de la revision compacte, souvent associe a la plateforme."
"PC-FX","NEC PC-FX","nom_alternatif","Japon","Nom avec fabricant."
"Pippin","Apple Pippin","nom_alternatif","International","Nom avec fabricant."
"Pippin","Bandai Pippin","nom_alternatif","Japon/Etats-Unis","Nom du modele commercial principal."
"Satellaview","BS-X Satellaview","nom_alternatif","Japon","Nom associe a l'adaptateur et au service."
"Atari Jaguar CD","Jaguar CD","nom_court","International","Nom court courant."
"Casio Loopy","Loopy","nom_court","Japon","Nom court courant."
"Super A'Can","Super Acan","orthographe","Taiwan","Variante sans apostrophe."
"Nintendo 64","N64","abreviation","International","Abreviation la plus utilisee."
"Nintendo 64","Ultra 64","ancien_nom","International","Nom de precommercialisation."
"Dreamcast","Sega Dreamcast","nom_alternatif","International","Nom avec fabricant."
"Nintendo 64DD","64DD","nom_court","Japon","Nom court courant."
"Nuon","VM Labs Nuon","nom_alternatif","International","Nom avec fabricant."
"PlayStation 2","PS2","abreviation","International","Abreviation la plus utilisee."
"GameCube","Nintendo GameCube","nom_alternatif","International","Nom avec fabricant."
"GameCube","GCN","abreviation","International","Abreviation Nintendo courante."
"Xbox","Xbox Original","nom_alternatif","International","Nom utilise pour distinguer la premiere Xbox."
"DVD Kids","3-Plus DVD Kids","nom_alternatif","Europe","Nom avec fabricant."
"XavixPORT","XaviXPORT","orthographe","International","Capitalisation commerciale."
"XavixPORT","XaviX Port","orthographe","International","Variante espacee."
"V.Smile","VTech V.Smile","nom_alternatif","International","Nom avec fabricant."
"Game Wave Family Entertainment System","Game Wave","nom_court","International","Nom court courant."
"Xbox 360","X360","abreviation","International","Abreviation courante."
"Advanced Pico Beena","Beena","nom_court","Japon","Nom court courant."
"Advanced Pico Beena","Sega Beena","nom_alternatif","Japon","Nom avec fabricant."
"V.Smile Baby Infant Development System","V.Smile Baby","nom_court","International","Nom court courant."
"V.Flash","VTech V.Flash","nom_alternatif","International","Nom avec fabricant."
"HyperScan","Mattel HyperScan","nom_alternatif","Etats-Unis","Nom avec fabricant."
"PlayStation 3","PS3","abreviation","International","Abreviation la plus utilisee."
"Wii","Nintendo Wii","nom_alternatif","International","Nom avec fabricant."
"Sport Vii","Vii","nom_court","Chine/International","Nom court courant."
"EVO Smart Console","Envizions EVO","nom_alternatif","Etats-Unis","Nom avec marque."
"Zeebo","Tectoy Zeebo","nom_alternatif","Bresil","Nom avec distributeur."
"CT510","Eedoo CT510","nom_alternatif","Chine","Nom avec fabricant."
"Wii U","Nintendo Wii U","nom_alternatif","International","Nom avec fabricant."
"Ouya","OUYA","orthographe","International","Capitalisation commerciale."
"PlayStation 4","PS4","abreviation","International","Abreviation la plus utilisee."
"Xbox One","XONE","abreviation","International","Abreviation courante."
"Fuze Tomahawk F1","Tomahawk F1","nom_court","Chine","Nom court courant."
"Nintendo Switch","Switch","nom_court","International","Nom court le plus utilise."
"Xbox Series X/S","Xbox Series X","modele","International","Modele haut de gamme."
"Xbox Series X/S","Xbox Series S","modele","International","Modele entree de gamme."
"Xbox Series X/S","Series X/S","nom_court","International","Nom court courant."
"PlayStation 5","PS5","abreviation","International","Abreviation la plus utilisee."
"Atari VCS","AtariBox","ancien_nom","International","Nom de projet initial."
"Polymega","Playmaji Polymega","nom_alternatif","International","Nom avec fabricant."
"Evercade VS","VS","nom_court","International","Nom court dans la gamme Evercade."
"Nintendo Switch 2","Switch 2","nom_court","International","Nom court courant."
"Microvision","Milton Bradley Microvision","nom_alternatif","International","Nom avec fabricant."
"Entex Select-A-Game","Select-A-Game","nom_court","Etats-Unis","Nom court courant."
"Entex Adventure Vision","Adventure Vision","nom_court","Etats-Unis","Nom court courant."
"Palmtex Portable Videogame System / Super Micro","Palmtex Portable Videogame System","nom_alternatif","Etats-Unis","Nom commercial complet."
"Palmtex Portable Videogame System / Super Micro","Super Micro","nom_alternatif","Etats-Unis","Nom alternatif courant."
"Palmtex Portable Videogame System / Super Micro","PVS","abreviation","Etats-Unis","Abreviation de Portable Videogame System."
"Digi Casse","Bandai Digi Casse","nom_alternatif","Japon","Nom avec fabricant."
"Epoch Game Pocket Computer","Game Pocket Computer","nom_court","Japon","Nom court courant."
"Etch A Sketch Animator 2000","Animator 2000","nom_court","Etats-Unis","Nom court courant."
"Game Boy","Nintendo Game Boy","nom_alternatif","International","Nom avec fabricant."
"Game Boy","DMG","abreviation","International","Code modele courant chez les collectionneurs."
"Atari Lynx","Lynx","nom_court","International","Nom court courant."
"Game Gear","Sega Game Gear","nom_alternatif","International","Nom avec fabricant."
"TurboExpress / PC Engine GT","TurboExpress","nom_alternatif","Amerique du Nord","Nom nord-americain."
"TurboExpress / PC Engine GT","PC Engine GT","nom_alternatif","Japon","Nom japonais."
"TurboExpress / PC Engine GT","Turbo Express","orthographe","Amerique du Nord","Variante espacee."
"Gamate","Bitcorp Gamate","nom_alternatif","International","Nom avec fabricant."
"Game Master","Hartung Game Master","nom_alternatif","Europe","Nom avec fabricant."
"Watara Supervision","Supervision","nom_court","International","Nom court courant."
"Mega Duck / Cougar Boy","Mega Duck","nom_alternatif","Europe","Nom le plus utilise."
"Mega Duck / Cougar Boy","Cougar Boy","nom_alternatif","Amerique du Sud/Asie","Nom alternatif de distribution."
"Sega Nomad","Nomad","nom_court","Amerique du Nord","Nom court courant."
"Design Master Senshi Mangajukuu","Design Master","nom_court","Japon","Nom court courant."
"Game.com","Tiger Game.com","nom_alternatif","Etats-Unis","Nom avec fabricant."
"Game Boy Color","GBC","abreviation","International","Abreviation la plus utilisee."
"Neo Geo Pocket","NGP","abreviation","International","Abreviation courante."
"WonderSwan","Bandai WonderSwan","nom_alternatif","Japon","Nom avec fabricant."
"Neo Geo Pocket Color","NGPC","abreviation","International","Abreviation courante."
"PocketStation","Pocket Station","orthographe","Japon","Variante espacee."
"Cybiko","Cybiko Classic","nom_alternatif","International","Nom utilise pour distinguer le premier modele."
"WonderSwan Color","WSC","abreviation","Japon","Abreviation courante."
"Game Boy Advance","GBA","abreviation","International","Abreviation la plus utilisee."
"GP32","GamePark GP32","nom_alternatif","Coree du Sud","Nom avec fabricant."
"Pokémon Mini","Pokemon Mini","orthographe","International","Variante sans accent."
"Pokémon Mini","Nintendo Pokemon Mini","nom_alternatif","International","Nom avec fabricant."
"SwanCrystal","Swan Crystal","orthographe","Japon","Variante espacee."
"N-Gage","Nokia N-Gage","nom_alternatif","International","Nom avec fabricant."
"Tapwave Zodiac","Zodiac","nom_court","International","Nom court courant."
"GameKing","Timetop GameKing","nom_alternatif","Chine","Nom avec fabricant."
"Nintendo DS","DS","nom_court","International","Nom court courant."
"Nintendo DS","NDS","abreviation","International","Abreviation courante."
"PlayStation Portable","PSP","abreviation","International","Abreviation la plus utilisee."
"GameKing II","GameKing 2","orthographe","Chine","Variante avec chiffre arabe."
"Gizmondo","Tiger Gizmondo","nom_alternatif","International","Nom avec fabricant."
"GP2X","GamePark GP2X","nom_alternatif","Coree du Sud","Nom avec fabricant."
"Dingoo A320","A320","nom_court","International","Nom court courant."
"Pandora","OpenPandora Pandora","nom_alternatif","International","Nom avec fabricant."
"Nintendo 3DS","3DS","nom_court","International","Nom court courant."
"PlayStation Vita","PS Vita","nom_court","International","Nom le plus utilise."
"PlayStation Vita","Vita","nom_court","International","Nom court courant."
"Neo Geo X","NeoGeo X","orthographe","International","Variante sans espace."
"Game Gadget","Blaze GameGadget","nom_alternatif","Europe","Nom avec fabricant et orthographe commerciale."
"Nvidia Shield Portable","Shield Portable","nom_court","International","Nom court courant."
"GCW Zero","Game Consoles Worldwide Zero","nom_alternatif","International","Nom developpe."
"GPD XD","GamePad Digital XD","nom_alternatif","International","Nom developpe."
"Arduboy","Arduboy Classic","nom_alternatif","International","Nom utilise pour distinguer le premier modele."
"GPD Win","GamePad Digital Win","nom_alternatif","International","Nom developpe."
"Evercade","Blaze Evercade","nom_alternatif","International","Nom avec fabricant."
"Analogue Pocket","Pocket","nom_court","International","Nom court dans la gamme Analogue."
"Ayaneo","AYA NEO","orthographe","International","Ancienne capitalisation commerciale."
"Steam Deck","Valve Steam Deck","nom_alternatif","International","Nom avec fabricant."
"Thumby","TinyCircuits Thumby","nom_alternatif","International","Nom avec fabricant."
"Playdate","Panic Playdate","nom_alternatif","International","Nom avec fabricant."
"Ayaneo 2","AYANEO 2","orthographe","International","Capitalisation commerciale."
"Logitech G Cloud","G Cloud","nom_court","International","Nom court courant."
"Razer Edge","Edge","nom_court","International","Nom court dans la gamme Razer."
"Asus ROG Ally","ROG Ally","nom_court","International","Nom court le plus utilise."
"Lenovo Legion Go","Legion Go","nom_court","International","Nom court le plus utilise."
"MSI Claw A1M","Claw A1M","nom_court","International","Nom court courant."
"ROG Xbox Ally","Xbox Ally","nom_court","International","Nom court courant."
"Mattel Handheld Games","Mattel Electronics Handheld Games","nom_alternatif","Etats-Unis","Nom avec denomination fabricant complete."
"Blip","Tomy Blip","nom_alternatif","International","Nom avec fabricant."
"Coleco Handheld Games","Coleco Electronic Quarterback","exemple_famille","Etats-Unis","Nom d'une gamme representative des handhelds Coleco."
"Merlin","Parker Brothers Merlin","nom_alternatif","Etats-Unis","Nom avec fabricant."
"VTech Handheld Games","VTech Electronic Games","nom_alternatif","International","Nom de famille courant."
"Game & Watch","Nintendo Game & Watch","nom_alternatif","International","Nom avec fabricant."
"Game & Watch","G&W","abreviation","International","Abreviation courante."
"Astro Wars","Grandstand Astro Wars","nom_alternatif","Royaume-Uni","Nom avec fabricant."
"LCD Solarpower","Bandai LCD Solarpower","nom_alternatif","Japon","Nom avec fabricant."
"Tiger Electronics Handheld Games","Tiger Handheld Games","nom_court","International","Nom court courant."
"Acclaim Handheld Games","Acclaim LCD Games","nom_alternatif","Etats-Unis","Nom de famille courant."
"Barcode Battler","Epoch Barcode Battler","nom_alternatif","Japon","Nom avec fabricant."
"Nintendo Mini Classics","Mini Classics","nom_court","International","Nom court courant."
"Pokémon Pikachu","Pokemon Pikachu","orthographe","International","Variante sans accent."
"Pokémon Pikachu 2 GS","Pokemon Pikachu 2 GS","orthographe","International","Variante sans accent."
"Atari Flashback","Flashback","nom_court","International","Nom court dans la gamme Atari."
"Atari Flashback 2","Flashback 2","nom_court","International","Nom court dans la gamme Atari."
"C64 Direct-to-TV","C64 DTV","abreviation","International","Abreviation courante."
"C64 Direct-to-TV","Commodore 64 Direct-to-TV","nom_alternatif","International","Nom developpe."
"NES Classic Edition","Nintendo Classic Mini: NES","nom_alternatif","Europe","Nom europeen."
"NES Classic Edition","Nintendo Entertainment System Classic Edition","nom_alternatif","Amerique du Nord","Nom developpe."
"NES Classic Edition","NES Mini","nom_court","International","Nom courant."
"Super NES Classic Edition","Nintendo Classic Mini: Super Nintendo Entertainment System","nom_alternatif","Europe","Nom europeen."
"Super NES Classic Edition","SNES Classic Edition","nom_court","Amerique du Nord","Nom court courant."
"Super NES Classic Edition","Super Nintendo Mini","nom_court","Europe","Nom courant."
"Neo Geo Mini","NEOGEO Mini","orthographe","International","Capitalisation commerciale."
"PlayStation Classic","PS Classic","nom_court","International","Nom court courant."
"Sega Genesis Mini / Mega Drive Mini","Sega Genesis Mini","nom_alternatif","Amerique du Nord","Nom nord-americain."
"Sega Genesis Mini / Mega Drive Mini","Mega Drive Mini","nom_alternatif","Europe/Japon","Nom europeen et japonais."
"Sega Genesis Mini / Mega Drive Mini","Sega Mega Drive Mini","nom_alternatif","Europe/Japon","Nom avec fabricant."
"TurboGrafx-16 Mini / PC Engine Mini","TurboGrafx-16 Mini","nom_alternatif","Amerique du Nord","Nom nord-americain."
"TurboGrafx-16 Mini / PC Engine Mini","PC Engine Mini","nom_alternatif","Japon","Nom japonais."
"TurboGrafx-16 Mini / PC Engine Mini","CoreGrafx Mini","nom_alternatif","Europe","Nom europeen."
"Astro City Mini","Sega Astro City Mini","nom_alternatif","Japon","Nom avec fabricant."
"Evercade EXP","EXP","nom_court","International","Nom court dans la gamme Evercade."
"Sega Genesis Mini 2 / Mega Drive Mini 2","Sega Genesis Mini 2","nom_alternatif","Amerique du Nord","Nom nord-americain."
"Sega Genesis Mini 2 / Mega Drive Mini 2","Mega Drive Mini 2","nom_alternatif","Europe/Japon","Nom europeen et japonais."
"Atari 2600+","Atari 2600 Plus","orthographe","International","Variante developpee."
"Evercade Alpha","Alpha","nom_court","International","Nom court dans la gamme Evercade."
"Atari 7800+","Atari 7800 Plus","orthographe","International","Variante developpee."
