"nom_machine","nom_fabricant","date_mise_en_vente","date_retrait_vente"
"Wii","Nintendo","2006-11-19","2017-10-20"
"Sport Vii","JungleTac","2007","Inconnue"
"EVO Smart Console","Envizions","2008-11-20","2009"
"Zeebo","Zeebo Inc./TecToy","2009-05-25","2011-09-30"
"CT510","Eedoo","2012-04-29","Inconnue"
"Wii U","Nintendo","2012-11-18","2017-01-31"
"Ouya","Ouya Inc.","2013-06-25","2015-07-27"
"PlayStation 4","Sony Interactive Entertainment","2013-11-15","2024-03-28"
"Xbox One","Microsoft","2013-11-22","2020-07-16"
"Fuze Tomahawk F1","Fuze Entertainment","2016-06-01","Inconnue"
"Nintendo Switch","Nintendo","2017-03-03","En vente"
"Xbox Series X/S","Microsoft","2020-11-10","En vente"
"PlayStation 5","Sony Interactive Entertainment","2020-11-12","En vente"
"Atari VCS","Atari","2021-06-10","2022-12"
"Polymega","Playmaji","2021-09-12","En vente"
"Evercade VS","Blaze Entertainment","2021-12","En vente"
"Nintendo Switch 2","Nintendo","2025-06-05","En vente"
"Microvision","Milton Bradley","1979","1981"
"Entex Select-A-Game","Entex Industries","1981","1982"
"Entex Adventure Vision","Entex Industries","1982","1983"
"Palmtex Portable Videogame System / Super Micro","Palmtex","1984","1984"
"Digi Casse","Bandai","1984","Inconnue"
"Epoch Game Pocket Computer","Epoch","1984","1985"
"Etch A Sketch Animator 2000","Ohio Art Company","1988","Inconnue"
"Game Boy","Nintendo","1989-04-21","2003-03-23"
"Atari Lynx","Atari Corporation","1989-09","1995"
"Game Gear","Sega","1990-10-06","1997"
"TurboExpress / PC Engine GT","NEC","1990-12-01","1994"
"Gamate","Bit Corporation","1990","1993"
"Game Master","Hartung","1990","Inconnue"
"Watara Supervision","Watara","1992","1996"
"Mega Duck / Cougar Boy","Welback Holdings","1993","Inconnue"
"Sega Nomad","Sega","1995-10","1999"
"Design Master Senshi Mangajukuu","Bandai","1995","Inconnue"
"Game.com","Tiger Electronics","1997-08","2000"
"Game Boy Color","Nintendo","1998-10-21","2003-03-23"
"Neo Geo Pocket","SNK","1998-10-28","1999"
"WonderSwan","Bandai","1999-03-04","2003"
"Neo Geo Pocket Color","SNK","1999-03-16","2001"
"PocketStation","Sony Computer Entertainment","1999-01-23","2002-07"
"Cybiko","Cybiko Inc.","2000","2003"
"WonderSwan Color","Bandai","2000-12-09","2003"
"Game Boy Advance","Nintendo","2001-03-21","2008-05-15"
"GP32","Game Park","2001-11-23","2005"
"Pokémon Mini","Nintendo","2001-11-16","2002"
"SwanCrystal","Bandai","2002-07-12","2003"
"N-Gage","Nokia","2003-10-07","2005"
"Tapwave Zodiac","Tapwave","2003-10","2005-07"
"GameKing","Timetop","2003","Inconnue"
"Nintendo DS","Nintendo","2004-11-21","2013"
"PlayStation Portable","Sony Computer Entertainment","2004-12-12","2014"
"GameKing II","Timetop","2004","Inconnue"
"Gizmondo","Tiger Telematics","2005-03-19","2006-02"
"GP2X","GamePark Holdings","2005-11-10","2008"
"Dingoo A320","Dingoo Digital","2009","2010"
"Pandora","OpenPandora","2010-05-21","2013"
"Nintendo 3DS","Nintendo","2011-02-26","2020-09-16"
"PlayStation Vita","Sony Computer Entertainment","2011-12-17","2019-03-01"
"Neo Geo X","Tommo/SNK Playmore","2012-12-18","2013-10-02"
"Game Gadget","Blaze Europe","2012","2013"
"Nvidia Shield Portable","Nvidia","2013-07-31","2018"
"GCW Zero","Game Consoles Worldwide","2013","2016"
"GPD XD","GamePad Digital","2015","2018"
"Arduboy","Arduboy Inc.","2016","2021"
"GPD Win","GamePad Digital","2016-10","2018"
"Evercade","Blaze Entertainment","2020-05-22","2023"
"Analogue Pocket","Analogue","2021-12-13","En vente"
"Ayaneo","Ayaneo","2021","2022"
"Steam Deck","Valve","2022-02-25","En vente"
"Thumby","TinyCircuits","2022","En vente"
"Playdate","Panic","2022-04-18","En vente"
"Ayaneo 2","Ayaneo","2022-12","2023"
"Logitech G Cloud","Logitech/Tencent","2022-10-17","En vente"
"Razer Edge","Razer","2023-01-26","En vente"
"Asus ROG Ally","Asus","2023-06-13","En vente"
"Lenovo Legion Go","Lenovo","2023-10-31","En vente"
"MSI Claw A1M","MSI","2024-03","En vente"
"ROG Xbox Ally","Asus/Microsoft","2025-10-16","En vente"
"Mattel Handheld Games","Mattel","1976","1982"
"Blip","Tomy","1977","Inconnue"
"Coleco Handheld Games","Coleco","1978","Inconnue"
"Merlin","Parker Brothers","1978","Inconnue"
"VTech Handheld Games","VTech/Palmtex","1979","1991"
"Game & Watch","Nintendo","1980-04-28","1991"
"Astro Wars","Grandstand","1981","Inconnue"
"LCD Solarpower","Bandai","1982","Inconnue"
"Tiger Electronics Handheld Games","Tiger Electronics","1987","2003"
"Acclaim Handheld Games","Acclaim Entertainment","1988","1991"
"Barcode Battler","Epoch","1991","Inconnue"
"Nintendo Mini Classics","Nintendo","1998","En vente"
"Pokémon Pikachu","Nintendo","1998-03-27","1999"
"Pokémon Pikachu 2 GS","Nintendo","1999-11-21","2002"
"Atari Flashback","Atari","2004-11","2005"
"Atari Flashback 2","Atari","2005-08","2006"
"C64 Direct-to-TV","Mammoth Toys/Techno Source","2004","2005"
"NES Classic Edition","Nintendo","2016-11-10","2018"
"Super NES Classic Edition","Nintendo","2017-09-29","2018"
"Neo Geo Mini","SNK","2018-07-24","2020"
"PlayStation Classic","Sony Interactive Entertainment","2018-12-03","2019"
"Sega Genesis Mini / Mega Drive Mini","Sega","2019-09-19","2021"
"TurboGrafx-16 Mini / PC Engine Mini","Konami","2020-03-19","2021"
"Astro City Mini","Sega Toys","2020-12-17","2022"
"Evercade EXP","Blaze Entertainment","2022-12-15","En vente"
"Sega Genesis Mini 2 / Mega Drive Mini 2","Sega","2022-10-27","2023"
"Atari 2600+","Atari","2023-11-17","En vente"
"Evercade Alpha","Blaze Entertainment","2024-11-28","En vente"
"Atari 7800+","Atari","2024-11-29","En vente"
