Nom du jeu;Date de sortie;Studio de développement;Plateforme
I Hate This Place;2025-12-31;Rock Square Thunder;Playstation5
Sworn;2025-12-31;Windwalk Games
Naiad;2025-12-31;HiWarp
Ereban: Shadow Legacy;2025-12-31;Baby Robot Games;Playstation5
Hunt the Night;2025-12-31;Moonlight Games;Playstation5
Inspector Waffles Early Days;2025-12-31;Goloso Games;Playstation5
Koira;2025-12-31;Studio Tolima
Windswept;2025-12-31;WeatherFell
Formation Z;2025-12-31;City Connection
Taxi Chaos 2;2025-12-31;Team6 Game Studios;Playstation5
This is Fine: Maximum Cope;2025-12-31;Numskull Games;Playstation5
Detective Collection Vol. 2;2025-12-31;Various;Playstation5
Hood Story: Kaito Yamazaki;2025-12-31;Zerouno Games;Playstation5
Frank and Drake;2025-12-31;Appnormals Team;Playstation5
Gobliiins Collection;2025-12-31;Pierre Gilhodes / Red Art Studios;Playstation5
Dungeon Drafters;2025-12-31;Manalith Studios;Playstation5
City Hunter;2025-12-31;Red Art Studios
Astral Ascent: Stellar Edition;2025-12-31;Hibernian Workshop;Playstation5
Monster Crown: Sin Eater;2025-12-31;Studio Aurum;Playstation5
Metal Suits: Counter-Attack;2025-12-31;Eggtart;Playstation5
